0.9999829 0.9999829 0.9999829 0.9999829 0.9999829 0.9999829 0.9999829 0.9999829 0.9999829 0.9999829
0.9982874 0.9982874 0.9982874 0.9982874 0.9982874 0.9982874 0.9982874 0.9982874 0.9982874 0.9982874
  0.91162   0.91162   0.91162   0.91162   0.91162   0.91162   0.91162   0.91162   0.91162   0.91162
0.8323445 0.8323445 0.8323445 0.8323445 0.8323445 0.8323445 0.8323445 0.8323445 0.8323445 0.8323445
 0.760187  0.760187  0.760187  0.760187  0.760187  0.760187  0.760187  0.760187  0.760187  0.760187
0.6944962 0.6944962 0.6944962 0.6944962 0.6944962 0.6944962 0.6944962 0.6944962 0.6944962 0.6944962
0.6354891 0.6354891 0.6354891 0.6354891 0.6354891 0.6354891 0.6354891 0.6354891 0.6354891 0.6354891
        1         1         1         1         1         1         1         1         1         1
        1         1         1         1         1         1         1         1         1         1
        1         1         1         1         1         1         1         1         1         1
